"FinancialYear","HBR","HBT","Dataset","DatasetQF","DischargeCount","DischargeCountQF","PatientsCount","PatientCountQF"
"1997/98","S08000015","SB0801","Total","d","0"," ","0"," "
"1997/98","S08000015","SB0801","SMR01"," ","0"," ","0"," "
"1997/98","S08000015","SB0801","SMR04"," ","",":","",":"
"1997/98","S08000015","S08000015","Total","d","3460"," ","2345"," "
"1997/98","S08000015","S08000015","SMR01"," ","870"," ","735"," "
"1997/98","S08000015","S08000015","SMR04"," ","2590"," ","1735"," "
"1997/98","S08000015","S08000016","Total","d","0"," ","0"," "
"1997/98","S08000015","S08000016","SMR01"," ","0"," ","0"," "
"1997/98","S08000015","S08000016","SMR04"," ","0"," ","0"," "
"1997/98","S08000015","S08000017","Total","d","10"," ","5"," "
"1997/98","S08000015","S08000017","SMR01"," ","0"," ","0"," "
"1997/98","S08000015","S08000017","SMR04"," ","10"," ","5"," "
"1997/98","S08000015","S08000029","Total","d","0"," ","0"," "
"1997/98","S08000015","S08000029","SMR01"," ","0"," ","0"," "
"1997/98","S08000015","S08000029","SMR04"," ","0"," ","0"," "
"1997/98","S08000015","S08000019","Total","d","0"," ","0"," "
"1997/98","S08000015","S08000019","SMR01"," ","0"," ","0"," "
"1997/98","S08000015","S08000019","SMR04"," ","0"," ","0"," "
"1997/98","S08000015","S08000020","Total","d","0"," ","0"," "
"1997/98","S08000015","S08000020","SMR01"," ","0"," ","0"," "
"1997/98","S08000015","S08000020","SMR04"," ","0"," ","0"," "
"1997/98","S08000015","S08000031","Total","d","50"," ","45"," "
"1997/98","S08000015","S08000031","SMR01"," ","15"," ","15"," "
"1997/98","S08000015","S08000031","SMR04"," ","30"," ","25"," "
"1997/98","S08000015","S08000022","Total","d","0"," ","0"," "
"1997/98","S08000015","S08000022","SMR01"," ","0"," ","0"," "
"1997/98","S08000015","S08000022","SMR04"," ","0"," ","0"," "
"1997/98","S08000015","S08000032","Total","d","0"," ","0"," "
"1997/98","S08000015","S08000032","SMR01"," ","0"," ","0"," "
