"FinancialYear","HBT","HBTQF","Dataset","DatasetQF","ICD10Codes","DischargesCount","DischargesCountQF","DischargesRates","DischargesRatesQF","PatientsCount","PatientsCountQF","PatientsRates","PatientsRatesQF","HospitalResidentsCount","HospitalResidentsCountQF","HospitalResidentsRates","HospitalResidentsRatesQF"
"1997/98","S92000003","d","Total","d","F60 - F69","1230"," ","24.2"," ","850"," ","16.72"," ","135"," ","2.66"," "
"1997/98","S92000003","d","SMR01"," ","F60 - F69","60"," ","1.18"," ","50"," ","0.98"," ","",":","",":"
"1997/98","S92000003","d","SMR04"," ","F60 - F69","1170"," ","23.02"," ","805"," ","15.84"," ","135"," ","2.66"," "
"1997/98","S92000003","d","Total","d","F10 - F19","11010"," ","216.59"," ","8225"," ","161.8"," ","490"," ","9.64"," "
"1997/98","S92000003","d","SMR01"," ","F10 - F19","5330"," ","104.85"," ","4355"," ","85.67"," ","",":","",":"
"1997/98","S92000003","d","SMR04"," ","F10 - F19","5675"," ","111.64"," ","4305"," ","84.69"," ","490"," ","9.64"," "
"1997/98","S92000003","d","Total","d","F30 - F39","9455"," ","186"," ","7045"," ","138.59"," ","1180"," ","23.21"," "
"1997/98","S92000003","d","SMR01"," ","F30 - F39","570"," ","11.21"," ","490"," ","9.64"," ","",":","",":"
"1997/98","S92000003","d","SMR04"," ","F30 - F39","8885"," ","174.79"," ","6670"," ","131.21"," ","1180"," ","23.21"," "
"1997/98","S92000003","d","Total","d","F40 - F49","3200"," ","62.95"," ","2755"," ","54.2"," ","170"," ","3.34"," "
"1997/98","S92000003","d","SMR01"," ","F40 - F49","745"," ","14.66"," ","675"," ","13.28"," ","",":","",":"
"1997/98","S92000003","d","SMR04"," ","F40 - F49","2455"," ","48.3"," ","2095"," ","41.21"," ","170"," ","3.34"," "
"1997/98","S92000003","d","Total","d","F00 - F09 or Chapter G and second position F00","8905"," ","175.18"," ","6120"," ","120.39"," ","3160"," ","62.16"," "
"1997/98","S92000003","d","SMR01"," ","F00 - F09 or Chapter G and second position F00","2310"," ","45.44"," ","1865"," ","36.69"," ","",":","",":"
"1997/98","S92000003","d","SMR04"," ","F00 - F09 or Chapter G and second position F00","6595"," ","129.74"," ","4495"," ","88.43"," ","3160"," ","62.16"," "
"1997/98","S92000003","d","Total","d","F50 - F59, F70 - F99","810"," ","15.93"," ","675"," ","13.28"," ","180"," ","3.54"," "
"1997/98","S92000003","d","SMR01"," ","F50 - F59, F70 - F99","370"," ","7.28"," ","305"," ","6"," ","",":","",":"
"1997/98","S92000003","d","SMR04"," ","F50 - F59, F70 - F99","435"," ","8.56"," ","385"," ","7.57"," ","180"," ","3.54"," "
"1997/98","S92000003","d","Total","d","F20 - F29","6400"," ","125.9"," ","4270"," ","84"," ","2315"," ","45.54"," "
"1997/98","S92000003","d","SMR01"," ","F20 - F29","95"," ","1.87"," ","85"," ","1.67"," ","",":","",":"
"1997/98","S92000003","d","SMR04"," ","F20 - F29","6300"," ","123.93"," ","4210"," ","82.82"," ","2315"," ","45.54"," "
"1998/99","S92000003","d","Total","d","F60 - F69","1355"," ","26.69"," ","925"," ","18.22"," ","135"," ","2.66"," "
"1998/99","S92000003","d","SMR01"," ","F60 - F69","55"," ","1.08"," ","45"," ","0.89"," ","",":","",":"
"1998/99","S92000003","d","SMR04"," ","F60 - F69","1305"," ","25.7"," ","880"," ","17.33"," ","135"," ","2.66"," "
"1998/99","S92000003","d","Total","d","F10 - F19","10850"," ","213.71"," ","8105"," ","159.64"," ","450"," ","8.86"," "
"1998/99","S92000003","d","SMR01"," ","F10 - F19","5460"," ","107.54"," ","4345"," ","85.58"," ","",":","",":"
"1998/99","S92000003","d","SMR04"," ","F10 - F19","5390"," ","106.16"," ","4180"," ","82.33"," ","450"," ","8.86"," "
"1998/99","S92000003","d","Total","d","F30 - F39","9465"," ","186.43"," ","7100"," ","139.84"," ","1125"," ","22.16"," "
"1998/99","S92000003","d","SMR01"," ","F30 - F39","540"," ","10.64"," ","460"," ","9.06"," ","",":","",":"
"1998/99","S92000003","d","SMR04"," ","F30 - F39","8925"," ","175.79"," ","6735"," ","132.66"," ","1125"," ","22.16"," "
"1998/99","S92000003","d","Total","d","F40 - F49","3085"," ","60.76"," ","2645"," ","52.1"," ","120"," ","2.36"," "
