"FinancialYear","HBT","HBTQF","DischargeTypeGroup","DischargeType","DischargeTypeTotal","DischargeTypeTotalQF"
"2012/13","S92000003","d","Regular Discharge","10 - Regular discharge (No additional detail added)",4165,"d"
"2012/13","S92000003","d","Regular Discharge","11 - Discharge from NHS inpatient/day case care",21135,"d"
"2012/13","S92000003","d","Regular Discharge","12 - Transfer within the same Health Board/Health Care Provider",8020,"d"
"2012/13","S92000003","d","Regular Discharge","13 - Transfer to another Health Board/Health Care Provider",570,"d"
"2012/13","S92000003","d","Regular Discharge","18 - Other type of regular discharge",155,"d"
"2012/13","S92000003","d","Regular Discharge","19 - Regular discharge (Type not known)",25,"d"
"2012/13","S92000003","d","Irregular Discharge","20 - Irregular Discharge (No additional detail added)",375,"d"
"2012/13","S92000003","d","Irregular Discharge","21 - Patient discharged himself/herself against medical advice",1100,"d"
"2012/13","S92000003","d","Irregular Discharge","22 - Patient discharged by relative",20,"d"
"2012/13","S92000003","d","Irregular Discharge","23 - Patient absconded from detention (SMR04 only)",5,"d"
"2012/13","S92000003","d","Irregular Discharge","28 - Other type of irregular discharge",85,"d"
"2012/13","S92000003","d","Irregular Discharge","29 - Irregular discharge (Type not known)",5,"d"
"2012/13","S92000003","d","Death","40 - Death (No additional detail added)",270,"d"
"2012/13","S92000003","d","Death","41 - Death - Post Mortem",20,"d"
"2012/13","S92000003","d","Death","42 - Death - No Post Mortem",270,"d"
"2012/13","S92000003","d","Death","43 - Death - Whilst on pass",50,"d"
"2013/14","S92000003","d","Regular Discharge","10 - Regular discharge (No additional detail added)",5185,"d"
"2013/14","S92000003","d","Regular Discharge","11 - Discharge from NHS inpatient/day case care",19865,"d"
"2013/14","S92000003","d","Regular Discharge","12 - Transfer within the same Health Board/Health Care Provider",9235,"d"
"2013/14","S92000003","d","Regular Discharge","13 - Transfer to another Health Board/Health Care Provider",630,"d"
"2013/14","S92000003","d","Regular Discharge","18 - Other type of regular discharge",380,"d"
"2013/14","S92000003","d","Regular Discharge","19 - Regular discharge (Type not known)",35,"d"
"2013/14","S92000003","d","Irregular Discharge","20 - Irregular Discharge (No additional detail added)",560,"d"
"2013/14","S92000003","d","Irregular Discharge","21 - Patient discharged himself/herself against medical advice",1050,"d"
"2013/14","S92000003","d","Irregular Discharge","22 - Patient discharged by relative",20,"d"
"2013/14","S92000003","d","Irregular Discharge","23 - Patient absconded from detention (SMR04 only)",5,"d"
"2013/14","S92000003","d","Irregular Discharge","28 - Other type of irregular discharge",95,"d"
"2013/14","S92000003","d","Irregular Discharge","29 - Irregular discharge (Type not known)",5,"d"
"2013/14","S92000003","d","Death","40 - Death (No additional detail added)",260,"d"
"2013/14","S92000003","d","Death","41 - Death - Post Mortem",20,"d"
"2013/14","S92000003","d","Death","42 - Death - No Post Mortem",250,"d"
"2013/14","S92000003","d","Death","43 - Death - Whilst on pass",40,"d"
"2014/15","S92000003","d","Regular Discharge","10 - Regular discharge (No additional detail added)",4465,"d"
"2014/15","S92000003","d","Regular Discharge","11 - Discharge from NHS inpatient/day case care",20390,"d"
"2014/15","S92000003","d","Regular Discharge","12 - Transfer within the same Health Board/Health Care Provider",11245,"d"
"2014/15","S92000003","d","Regular Discharge","13 - Transfer to another Health Board/Health Care Provider",625,"d"
"2014/15","S92000003","d","Regular Discharge","18 - Other type of regular discharge",400,"d"
"2014/15","S92000003","d","Regular Discharge","19 - Regular discharge (Type not known)",45,"d"
"2014/15","S92000003","d","Irregular Discharge","20 - Irregular Discharge (No additional detail added)",535,"d"
"2014/15","S92000003","d","Irregular Discharge","21 - Patient discharged himself/herself against medical advice",970,"d"
"2014/15","S92000003","d","Irregular Discharge","22 - Patient discharged by relative",30,"d"
"2014/15","S92000003","d","Irregular Discharge","23 - Patient absconded from detention (SMR04 only)",5,"d"
"2014/15","S92000003","d","Irregular Discharge","28 - Other type of irregular discharge",80,"d"
"2014/15","S92000003","d","Irregular Discharge","29 - Irregular discharge (Type not known)",5,"d"
"2014/15","S92000003","d","Death","40 - Death (No additional detail added)",375,"d"
"2014/15","S92000003","d","Death","41 - Death - Post Mortem",15,"d"
"2014/15","S92000003","d","Death","42 - Death - No Post Mortem",215,"d"
"2014/15","S92000003","d","Death","43 - Death - Whilst on pass",60,"d"
"2015/16","S92000003","d","Regular Discharge","10 - Regular discharge (No additional detail added)",5260,"d"
"2015/16","S92000003","d","Regular Discharge","11 - Discharge from NHS inpatient/day case care",20560,"d"
"2015/16","S92000003","d","Regular Discharge","12 - Transfer within the same Health Board/Health Care Provider",13480,"d"
"2015/16","S92000003","d","Regular Discharge","13 - Transfer to another Health Board/Health Care Provider",620,"d"
"2015/16","S92000003","d","Regular Discharge","18 - Other type of regular discharge",260,"d"
"2015/16","S92000003","d","Regular Discharge","19 - Regular discharge (Type not known)",35,"d"
"2015/16","S92000003","d","Irregular Discharge","20 - Irregular Discharge (No additional detail added)",530,"d"
"2015/16","S92000003","d","Irregular Discharge","21 - Patient discharged himself/herself against medical advice",960,"d"
"2015/16","S92000003","d","Irregular Discharge","22 - Patient discharged by relative",25,"d"
"2015/16","S92000003","d","Irregular Discharge","23 - Patient absconded from detention (SMR04 only)",5,"d"
"2015/16","S92000003","d","Irregular Discharge","28 - Other type of irregular discharge",70,"d"
