"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"1997/98","S08000015","Total","d",3535,3570,3355,2430,"495"," "
"1997/98","S08000015","SMR01"," ",900,910,870,775,"",":"
"1997/98","S08000015","SMR04"," ",2635,2655,2485,1785,"495"," "
"1997/98","S08000016","Total","d",900,925,865,610,"130"," "
"1997/98","S08000016","SMR01"," ",220,225,220,195,"",":"
"1997/98","S08000016","SMR04"," ",680,700,645,450,"130"," "
"1997/98","S08000017","Total","d",1100,1115,1030,820,"265"," "
"1997/98","S08000017","SMR01"," ",250,250,230,210,"",":"
"1997/98","S08000017","SMR04"," ",855,865,805,635,"265"," "
"1997/98","S08000029","Total","d",2200,2215,1985,1465,"505"," "
"1997/98","S08000029","SMR01"," ",290,290,255,240,"",":"
"1997/98","S08000029","SMR04"," ",1910,1925,1730,1260,"505"," "
"1997/98","S08000019","Total","d",1885,1935,1685,1250,"395"," "
"1997/98","S08000019","SMR01"," ",290,300,255,240,"",":"
"1997/98","S08000019","SMR04"," ",1590,1635,1425,1050,"395"," "
"1997/98","S08000020","Total","d",3370,3420,3180,2470,"645"," "
"1997/98","S08000020","SMR01"," ",1000,990,910,810,"",":"
"1997/98","S08000020","SMR04"," ",2370,2430,2270,1735,"645"," "
"1997/98","S08000031","Total","d",11320,11370,10280,7920,"2205"," "
"1997/98","S08000031","SMR01"," ",2685,2680,2440,2215,"",":"
"1997/98","S08000031","SMR04"," ",8630,8690,7840,5945,"2205"," "
"1997/98","S08000022","Total","d",3065,3090,2825,2095,"350"," "
"1997/98","S08000022","SMR01"," ",1010,1010,930,770,"",":"
"1997/98","S08000022","SMR04"," ",2060,2080,1895,1470,"350"," "
"1997/98","S08000032","Total","d",3230,3190,2930,2250,"680"," "
"1997/98","S08000032","SMR01"," ",660,665,630,580,"",":"
"1997/98","S08000032","SMR04"," ",2570,2525,2300,1750,"680"," "
"1997/98","S08000024","Total","d",6615,6685,6150,4290,"1140"," "
"1997/98","S08000024","SMR01"," ",1130,1140,990,880,"",":"
"1997/98","S08000024","SMR04"," ",5485,5545,5160,3535,"1140"," "
"1997/98","S08000025","Total","d",65,65,65,55,"0"," "
"1997/98","S08000025","SMR01"," ",65,65,65,55,"",":"
"1997/98","S08000025","SMR04"," ",0,0,0,0,"0"," "
"1997/98","S08000026","Total","d",115,120,120,95,"0"," "
"1997/98","S08000026","SMR01"," ",115,120,120,95,"",":"
"1997/98","S08000026","SMR04"," ",0,0,0,0,"0"," "
"1997/98","S08000030","Total","d",3670,3695,3345,2560,"780"," "
"1997/98","S08000030","SMR01"," ",710,710,665,615,"",":"
"1997/98","S08000030","SMR04"," ",2965,2985,2685,2040,"780"," "
"1997/98","S08000028","Total","d",305,320,305,210,"25"," "
"1997/98","S08000028","SMR01"," ",125,130,130,105,"",":"
"1997/98","S08000028","SMR04"," ",180,190,180,115,"25"," "
"1997/98","SB0802","Total","d",80,75,35,75,"225"," "
"1997/98","SB0802","SMR01"," ",0,0,0,0,"",":"
