"FinancialYear","LocationCode","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"1997/98","A101H","SMR01"," ",40,40,40,35,"",":"
"1997/98","A101H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","A101H","Total","d",40,40,40,35,"0"," "
"1997/98","A103H","SMR01"," ",10,15,15,15,"",":"
"1997/98","A103H","SMR04"," ",350,355,305,240,"40"," "
"1997/98","A103H","Total","d",360,370,325,255,"40"," "
"1997/98","A110H","SMR01"," ",20,15,15,15,"",":"
"1997/98","A110H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","A110H","Total","d",20,15,15,15,"0"," "
"1997/98","A111H","SMR01"," ",340,340,320,305,"",":"
"1997/98","A111H","SMR04"," ",805,805,760,620,"50"," "
"1997/98","A111H","Total","d",1145,1145,1085,905,"50"," "
"1997/98","A143V","SMR01"," ",5,0,0,0,"",":"
"1997/98","A143V","SMR04"," ",15,15,15,15,"30"," "
"1997/98","A143V","Total","d",20,20,15,15,"30"," "
"1997/98","A201H","SMR01"," ",0,0,0,0,"",":"
"1997/98","A201H","SMR04"," ",1430,1445,1375,1060,"290"," "
"1997/98","A201H","Total","d",1430,1445,1375,1060,"290"," "
"1997/98","A207H","SMR01"," ",80,80,75,60,"",":"
"1997/98","A207H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","A207H","Total","d",80,80,75,60,"0"," "
"1997/98","A208H","SMR01"," ",35,35,35,35,"",":"
"1997/98","A208H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","A208H","Total","d",35,35,35,35,"0"," "
"1997/98","A209H","SMR01"," ",20,20,20,15,"",":"
"1997/98","A209H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","A209H","Total","d",20,20,20,15,"0"," "
"1997/98","A210H","SMR01"," ",360,360,340,310,"",":"
"1997/98","A210H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","A210H","Total","d",360,360,340,310,"0"," "
"1997/98","A240V","SMR01"," ",0,0,0,0,"",":"
"1997/98","A240V","SMR04"," ",35,35,30,35,"85"," "
"1997/98","A240V","Total","d",35,35,30,35,"85"," "
"1997/98","B102H","SMR01"," ",10,10,10,5,"",":"
"1997/98","B102H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","B102H","Total","d",10,10,10,5,"0"," "
"1997/98","B103H","SMR01"," ",10,10,10,10,"",":"
"1997/98","B103H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","B103H","Total","d",10,10,10,10,"0"," "
"1997/98","B104H","SMR01"," ",0,0,0,0,"",":"
"1997/98","B104H","SMR04"," ",15,15,15,5,"20"," "
