"FinancialYear","HBT","HBTQF","Dataset","PercentageOfReadmissionsWithin28Days","PercentageOfReadmissionsWithin133Days"
"2000/01","S08000015"," ","SMR04",12.4,34.7
"2000/01","S08000016"," ","SMR04",12.3,34.5
"2000/01","S08000017"," ","SMR04",13.4,31.6
"2000/01","S08000029"," ","SMR04",11.6,32.4
"2000/01","S08000019"," ","SMR04",13.8,29.1
"2000/01","S08000020"," ","SMR04",12.8,30.1
"2000/01","S08000031"," ","SMR04",13.4,30.6
"2000/01","S08000022"," ","SMR04",15.9,35.7
"2000/01","S08000032"," ","SMR04",11.5,29.2
"2000/01","S08000024"," ","SMR04",12.9,34.2
"2000/01","S08000030"," ","SMR04",17.2,31.8
"2000/01","S08000028"," ","SMR04",22.4,43.5
"2000/01","S92000003","d","SMR04",13.5,32.1
"2001/02","S08000015"," ","SMR04",13.3,35.4
"2001/02","S08000016"," ","SMR04",11.9,30.7
"2001/02","S08000017"," ","SMR04",9.8,26.6
"2001/02","S08000029"," ","SMR04",12.6,29.5
"2001/02","S08000019"," ","SMR04",13.8,28.4
"2001/02","S08000020"," ","SMR04",13.8,31.4
"2001/02","S08000031"," ","SMR04",12.5,30.1
"2001/02","S08000022"," ","SMR04",14.5,32.7
"2001/02","S08000032"," ","SMR04",13,29.5
"2001/02","S08000024"," ","SMR04",13.2,33.2
"2001/02","S08000030"," ","SMR04",15.1,29.7
"2001/02","S08000028"," ","SMR04",17.3,45.2
"2001/02","S92000003","d","SMR04",13.2,31.2
"2002/03","S08000015"," ","SMR04",13.1,31.6
"2002/03","S08000016"," ","SMR04",14.8,31.8
"2002/03","S08000017"," ","SMR04",13,29
"2002/03","S08000029"," ","SMR04",14.4,31.8
"2002/03","S08000019"," ","SMR04",13.8,27.1
"2002/03","S08000020"," ","SMR04",12.3,27.8
"2002/03","S08000031"," ","SMR04",11.4,28
"2002/03","S08000022"," ","SMR04",14.3,30.7
"2002/03","S08000032"," ","SMR04",12.4,28.6
"2002/03","S08000024"," ","SMR04",13.1,33.2
"2002/03","S08000030"," ","SMR04",13,27.1
"2002/03","S08000028"," ","SMR04",18.1,48.5
"2002/03","S92000003","d","SMR04",12.8,29.8
"2003/04","S08000015"," ","SMR04",11.1,30.5
"2003/04","S08000016"," ","SMR04",15.4,37.1
