"FinancialYear","Country","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"1997/98","S92000003","Total","d",41460,41785,38145,28175,"7845"," "
"1997/98","S92000003","SMR01"," ",9450,9485,8700,7755,"",":"
"1997/98","S92000003","SMR04"," ",32010,32300,29445,21535,"7845"," "
"1998/99","S92000003","Total","d",41380,41905,38010,28405,"7330"," "
"1998/99","S92000003","SMR01"," ",9830,9840,8915,7890,"",":"
"1998/99","S92000003","SMR04"," ",31550,32065,29095,21565,"7330"," "
"1999/00","S92000003","Total","d",40855,41270,37190,28035,"6900"," "
"1999/00","S92000003","SMR01"," ",9900,9905,9055,7975,"",":"
"1999/00","S92000003","SMR04"," ",30950,31365,28135,21125,"6900"," "
"2000/01","S92000003","Total","d",40210,40515,36105,27230,"6625"," "
"2000/01","S92000003","SMR01"," ",9640,9675,8805,7655,"",":"
"2000/01","S92000003","SMR04"," ",30570,30840,27300,20540,"6625"," "
"2001/02","S92000003","Total","d",39775,40080,35335,26755,"6315"," "
"2001/02","S92000003","SMR01"," ",9920,9895,8795,7740,"",":"
"2001/02","S92000003","SMR04"," ",29855,30185,26540,19985,"6315"," "
"2002/03","S92000003","Total","d",38980,39305,34850,26680,"5995"," "
"2002/03","S92000003","SMR01"," ",9940,9940,8745,7695,"",":"
"2002/03","S92000003","SMR04"," ",29040,29365,26105,19920,"5995"," "
"2003/04","S92000003","Total","d",38825,39000,33920,26395,"5800"," "
"2003/04","S92000003","SMR01"," ",10405,10400,8820,7805,"",":"
"2003/04","S92000003","SMR04"," ",28420,28600,25100,19570,"5800"," "
"2004/05","S92000003","Total","d",37220,37575,32655,25420,"5490"," "
"2004/05","S92000003","SMR01"," ",9830,9865,8425,7395,"",":"
"2004/05","S92000003","SMR04"," ",27395,27710,24230,18965,"5490"," "
"2005/06","S92000003","Total","d",35820,36120,31435,24515,"5185"," "
"2005/06","S92000003","SMR01"," ",9785,9780,8240,7185,"",":"
"2005/06","S92000003","SMR04"," ",26035,26340,23195,18195,"5185"," "
"2006/07","S92000003","Total","d",35755,35960,31115,24170,"4965"," "
"2006/07","S92000003","SMR01"," ",11145,11135,9245,7970,"",":"
"2006/07","S92000003","SMR04"," ",24610,24830,21875,17190,"4965"," "
"2007/08","S92000003","Total","d",36275,36605,31600,24430,"4600"," "
"2007/08","S92000003","SMR01"," ",12590,12560,10190,8580,"",":"
"2007/08","S92000003","SMR04"," ",23685,24045,21410,16815,"4600"," "
"2008/09","S92000003","Total","d",36215,36575,31725,24645,"4300"," "
"2008/09","S92000003","SMR01"," ",12810,12875,10285,8605,"",":"
"2008/09","S92000003","SMR04"," ",23405,23700,21440,17135,"4300"," "
"2009/10","S92000003","Total","d",34645,34760,29690,23475,"4160"," "
"2009/10","S92000003","SMR01"," ",12500,12475,9880,8335,"",":"
"2009/10","S92000003","SMR04"," ",22145,22285,19810,16095,"4160"," "
"2010/11","S92000003","Total","d",35035,35215,29160,23120,"3995"," "
"2010/11","S92000003","SMR01"," ",13715,13730,10300,8700,"",":"
"2010/11","S92000003","SMR04"," ",21320,21485,18860,15445,"3995"," "
"2011/12","S92000003","Total","d",36360,36600,29655,23430,"3770"," "
"2011/12","S92000003","SMR01"," ",15140,15155,11080,9165,"",":"
"2011/12","S92000003","SMR04"," ",21220,21445,18575,15285,"3770"," "
"2012/13","S92000003","Total","d",36210,36270,29360,23240,"3705"," "
"2012/13","S92000003","SMR01"," ",15180,15170,10895,9065,"",":"
"2012/13","S92000003","SMR04"," ",21030,21100,18465,15160,"3705"," "
"2013/14","S92000003","Total","d",37605,37630,29615,23375,"3655"," "
